rating,review,split
negative,"imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno . 
",train
negative,"a rehash of every gangster movie from the past decade . 
",train
negative,"this kiddie-oriented stinker is so bad that i even caught the gum stuck under my seat trying to sneak out of the theater
",train
negative,"the campy results make mel brooks' borscht belt schtick look sophisticated . 
",train
negative,"this is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least . 
",train
negative,"with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is . he fails . 
",train
negative,"tv skit-com material fervently deposited on the big screen . 
",train
negative,"under 15 ? a giggle a minute . over age 15 ? big fat waste of time . 
",train
negative,"nijinsky says , 'i know how to suffer' and if you see this film you'll know too . 
",train
negative,"i'm guessing the director is a magician . after all , he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long . 
",train
negative,"opera on film is never satisfactory . the art demands live viewing . the innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen . 
",train
negative,"automatically pegs itself for the straight-to-video sci-fi rental shelf . 
",train
negative,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . 
",train
negative,"anemic chronicle of money grubbing new yorkers and their serial loveless hook ups . 
",train
negative,"overall , it's a pretty mediocre family film . 
",train
negative,"lillard and cardellini earn their scooby snacks , but not anyone else . 
",train
negative," . . . for all its social and political potential , state property doesn't end up being very inspiring or insightful . 
",train
negative,"although purportedly a study in modern alienation , it's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out . 
",train
negative,"earnest and heartfelt but undernourished and plodding . 
",train
negative,"what's at stake in this film is nothing more than an obsolete , if irritating , notion of class . 
",train
negative,"has little on its mind aside from scoring points with drag gags . 
",train
negative,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard ! 
",train
negative,"a road trip that will get you thinking , 'are we there yet ? '
",train
negative,"arguably the year's silliest and most incoherent movie . 
",train
negative,"true to its animatronic roots : . . . as stiff , ponderous and charmless as a mechanical apparatus . . . 'the country bears' should never have been brought out of hibernation . 
",train
negative,"like watching a dress rehearsal the week before the show goes up : everything's in place but something's just a little off-kilter . 
",train
negative,"eastwood winces , clutches his chest and gasps for breath . it's a spectacular performance - ahem , we hope it's only acting . 
",train
negative,"the hackneyed story about an affluent damsel in distress who decides to fight her bully of a husband is simply too overdone . 
",train
negative,"directors harry gantz and joe gantz have chosen a fascinating subject matter , but the couples exposing themselves aren't all that interesting . 
",train
negative,"[seems] even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels . 
",train
negative,"a series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story . 
",train
negative,"this picture is murder by numbers , and as easy to be bored by as your abc's , despite a few whopping shootouts . 
",train
negative,"[a] mess . 
",train
negative,"contrived , maudlin and cliche-ridden . . . if this sappy script was the best the contest received , those rejected must have been astronomically bad . 
",train
negative,"if melville is creatively a great whale , this film is canned tuna . 
",train
negative,"it's difficult to discern if this is a crazy work of disturbed genius or merely 90 minutes of post-adolescent electra rebellion . 
",train
negative,"unfortunately , it's also not very good . especially compared with the television series that inspired the movie . 
",train
negative,"poor ben bratt couldn't find stardom if mapquest emailed him point-to-point driving directions . 
",train
negative,"inconsequential road-and-buddy pic . 
",train
negative,"one of those films that started with a great premise and then just fell apart . 
",train
negative,"the name says it all . jackass is a vulgar and cheap-looking version of candid camera staged for the marquis de sade set . 
",train
negative,"a thriller without thrills and a mystery devoid of urgent questions . 
",train
negative,"ponderous , plodding soap opera disguised as a feature film . 
",train
negative,"might best be enjoyed as a daytime soaper . 
",train
negative,"the characters are paper thin and the plot is so cliched and contrived that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects . 
",train
negative,"characters wander into predictably treacherous situations even though they should know better . 
",train
negative,"circuit queens won't learn a thing , they'll be too busy cursing the film's strategically placed white sheets . 
",train
negative,"there's a bit of thematic meat on the bones of queen of the damned , as its origins in an anne rice novel dictate , but generally , it's a movie that emphasizes style over character and substance . 
",train
negative,"i can't say this enough : this movie is about an adult male dressed in pink jammies . 
",train
negative,"an encouraging effort from mccrudden
",train
negative,"the journey toward redemption feels more like a cinematic experiment than a full-blown movie . 
",train
negative," . . . has virtually no script at all . . . 
",train
negative,"a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to . 
",train
negative,"for this sort of thing to work , we need agile performers , but the proficient , dull sorvino has no light touch , and rodan is out of his league . 
",train
negative,"there's a thin line between likably old-fashioned and fuddy-duddy , and the count of monte cristo . . . never quite settles on either side . 
",train
negative," . . . surprisingly inert for a movie in which the main character travels back and forth between epochs . 
",train
negative,"a long , dull procession of despair , set to cello music culled from a minimalist funeral . 
",train
negative,"disney again ransacks its archives for a quick-buck sequel . 
",train
negative,"what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip . 
",train
negative,"an even more predictable , cliche-ridden endeavor than its predecessor . 
",train
negative,"it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 
",train
negative,"a turgid little history lesson , humourless and dull . 
",train
negative,"with a completely predictable plot , you'll swear that you've seen it all before , even if you've never come within a mile of the longest yard . 
",train
negative,"a fairly harmless but ultimately lifeless feature-length afterschool special . 
",train
negative,"put it somewhere between sling blade and south of heaven , west of hell in the pantheon of billy bob's body of work . 
",train
negative,"without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor's home videos . 
",train
negative,"in its own way , joshua is as blasphemous and nonsensical as a luis buñuel film without the latter's attendant intelligence , poetry , passion , and genius . 
",train
negative,"the most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill . 
",train
negative,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours . . . a cacophony of pretentious , meaningless prattle . 
",train
negative,"the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind--maybe too much . 
",train
negative,"as vulgar as it is banal . 
",train
negative,"it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another . 
",train
negative," . . . del toro maintains a dark mood that makes the film seem like something to endure instead of enjoy . 
",train
negative,"the movie has generic virtues , and despite a lot of involved talent , seems done by the numbers . 
",train
negative,"however clever nelson has been in providing variation within the confines of her structure and staging , the question remains whether this should , indeed , have been presented as a theatrical release . 
",train
negative,"earnest but earthbound . . . a slow , soggy , soporific , visually dank crime melodrama/character study that would be more at home on the small screen but for its stellar cast . 
",train
negative,"never again swings between false sentiment and unfunny madcap comedy and , along the way , expects the audience to invest in the central relationship as some kind of marriage of true minds . 
",train
negative,"solondz may well be the only one laughing at his own joke
",train
negative,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny . 
",train
negative,"woody allen can write and deliver a one liner as well as anybody . but i had a lot of problems with this movie . 
",train
negative,"has its moments -- and almost as many subplots . 
",train
negative,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . 
",train
negative,"a sometimes incisive and sensitive portrait that is undercut by its awkward structure and a final veering toward melodrama . 
",train
negative," . . . another example of how sandler is losing his touch . 
",train
negative,"the photographer's show-don't-tell stance is admirable , but it can make him a problematic documentary subject . 
",train
negative,"an inexperienced director , mehta has much to learn . 
",train
negative,"klein , charming in comedies like american pie and dead-on in election , delivers one of the saddest action hero performances ever witnessed . 
",train
negative,"the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . 
",train
negative,"a worthy idea , but the uninspired scripts , acting and direction never rise above the level of an after-school tv special . 
",train
negative,"another rent installment for the ian fleming estate . 
",train
negative,"a beautifully shot but dull and ankle-deep 'epic . '
",train
negative," . . . standard guns versus martial arts cliche with little new added . 
",train
negative,"roman polanski directs the pianist like a surgeon mends a broken heart ; very meticulously but without any passion . 
",train
negative,"every time you look , sweet home alabama is taking another bummer of a wrong turn . 
",train
negative,"loosely speaking , we're in all of me territory again , and , strictly speaking , schneider is no steve martin . 
",train
negative,"a vile , incoherent mess . . . a scummy ripoff of david cronenberg's brilliant 'videodrome . '
",train
negative," . . . liotta is put in an impossible spot because his character's deceptions ultimately undo him and the believability of the entire scenario . too bad . 
",train
negative,"the movie slides downhill as soon as macho action conventions assert themselves . 
",train
negative,"this u-boat doesn't have a captain . 
",train
negative,"wes craven's presence is felt ; not the craven of 'a nightmare on elm street' or 'the hills have eyes , ' but the sad schlock merchant of 'deadly friend . '
",train
negative,"schmaltzy and unfunny , adam sandler's cartoon about hanukkah is numbingly bad , little nicky bad , 10 worst list bad . 
",train
negative,"equilibrium the movie , as opposed to the manifesto , is really , really stupid . 
",train
negative,"fans of the tv series will be disappointed , and everyone else will be slightly bored . 
",train
negative,"let's face it -- there aren't many reasons anyone would want to see crossroads if they're not big fans of teen pop kitten britney spears . 
",train
negative,"less dizzying than just dizzy , the jaunt is practically over before it begins . 
",train
negative,"skins has a right to yawp , and we have a right to our grains of salt . 
",train
negative,"simone is not a bad film . it just doesn't have anything really interesting to say . 
",train
negative,"excessive , profane , packed with cartoonish violence and comic-strip characters . 
",train
negative,"what the four feathers lacks is genuine sweep or feeling or even a character worth caring about . 
",train
negative,"full frontal , which opens today nationwide , could almost be classified as a movie-industry satire , but it lacks the generous inclusiveness that is the genre's definitive , if disingenuous , feature . 
",train
negative,"what with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time . 
",train
negative,"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name
",train
negative,"made by jackasses for jackasses . 
",train
negative,"no movement , no yuks , not much of anything . 
",train
negative,"if a few good men told us that we "" can't handle the truth "" than high crimes poetically states at one point in this movie that we "" don't care about the truth . "" 
",train
negative,"the ending is a cop-out . what happens to john q ? i don't have an i am sam clue . 
",train
negative,"returning aggressively to his formula of dimwitted comedy and even dimmer characters , sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy . 
",train
negative,"two tedious acts light on great scares and a good surprise ending . 
",train
negative,"a big fat pain . 
",train
negative,"gaping plot holes sink this 'sub'-standard thriller and drag audience enthusiasm to crush depth . 
",train
negative,"works on the whodunit level as its larger themes get lost in the murk of its own making
",train
negative,"fans of plympton's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . 
",train
negative,"director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon , but showtime's uninspired send-up of tv cop show cliches mostly leaves him shooting blanks . 
",train
negative,"the title trapped turns out to be a pretty fair description of how you feel while you're watching this ultra-manipulative thriller . 
",train
negative,"stitch is a bad mannered , ugly and destructive little * * * * . no cute factor here… . not that i mind ugly ; the problem is he has no character , loveable or otherwise . 
",train
negative,"it plays like a big-budget , after-school special with a generous cast , who at times lift the material from its well-meaning clunkiness . 
",train
negative,"when cowering and begging at the feet a scruffy giannini , madonna gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game . 
",train
negative,"i believe silberling had the best intentions here , but he just doesn't have the restraint to fully realize them . 
",train
negative,"while the mystery surrounding the nature of the boat's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun . 
",train
negative,"don't even bother to rent this on video . 
",train
negative," . . . while the humor aspects of 'jason x' were far more entertaining than i had expected , everything else about the film tanks . 
",train
negative,"silly stuff , all mixed up together like a term paper from a kid who can't quite distinguish one sci-fi work from another . 
",train
negative,"uneasy mishmash of styles and genres . 
",train
negative,"the tone shifts abruptly from tense to celebratory to soppy . 
",train
negative,"meandering and confusing . 
",train
negative,"a sleep-inducing thriller with a single twist that everyone except the characters in it can see coming a mile away . 
",train
negative,"though a bit of a patchwork in script and production , a glossy , rich green , environment almost makes the picture work . 
",train
negative," . . . comes alive only when it switches gears to the sentimental . 
",train
negative,"it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , "" look at this ! this is an interesting movie ! "" but the film itself is ultimately quite unengaging . 
",train
negative,"a fan film that for the uninitiated plays better on video with the sound turned down . 
",train
negative,"the first hour is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie . 
",train
negative,"director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great . 
",train
negative,"the film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil . 
",train
negative,"pure of intention and passably diverting , his secret life is light , innocuous and unremarkable . 
",train
negative,"this film's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation . 
",train
negative,"the only thing that could possibly make them less interesting than they already are is for them to get full montied into a scrappy , jovial team . 
",train
negative,"one of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation . 
",train
negative,"an earnest , heartrending look at the divide between religious fundamentalists and their gay relatives . it's also heavy-handed and devotes too much time to bigoted views . 
",train
negative,"this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience . 
",train
negative,"the director's twitchy sketchbook style and adroit perspective shifts grow wearisome amid leaden pacing and indifferent craftsmanship ( most notably wretched sound design ) . 
",train
negative,"with a tone as variable as the cinematography , schaeffer's film never settles into the light-footed enchantment the material needs , and the characters' quirks and foibles never jell into charm . 
",train
negative,"a fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming . 
",train
negative,"nothing more than four or five mild chuckles surrounded by 86 minutes of overly-familiar and poorly-constructed comedy . 
",train
negative,"the film's center will not hold . 
",train
negative,"the obligatory break-ups and hook-ups don't seem to have much emotional impact on the characters . 
",train
negative,"mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious . 
",train
negative,"it's really just another silly hollywood action film , one among a multitude of simple-minded , yahoo-ing death shows . 
",train
negative,"however stale the material , lawrence's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny . 
",train
negative,"just not campy enough
",train
negative,"denis o'neill's script avoids the prime sports cliche , a last-second goal to win the championship , but it neglects few others . 
",train
negative,"it takes you somewhere you're not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it's surprisingly old-fashioned . 
",train
negative,"in the not-too-distant future , movies like ghost ship will be used as analgesic balm for overstimulated minds . right now , they're merely signposts marking the slow , lingering death of imagination . 
",train
negative,"for single digits kidlets stuart little 2 is still a no brainer . if you're looking to rekindle the magic of the first film , you'll need a stronger stomach than us . 
",train
negative,"this loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses is a deeply unpleasant experience . 
",train
negative,"if disney's cinderella proved that 'a dream is a wish your heart makes , ' then cinderella ii proves that a nightmare is a wish a studio's wallet makes . 
",train
negative,"the film is like a series of beginnings and middles that never take off . 
",train
negative,"yet another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a can't-miss heist -- only to have it all go wrong . 
",train
negative,"serving sara doesn't serve up a whole lot of laughs . 
",train
negative," . . . built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids . 
",train
negative,"it's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time . 
",train
negative,"one-sided documentary offers simplistic explanations to a very complex situation . . . . stylistically , the movie is a disaster . 
",train
negative,"a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen . 
",train
negative,"a painfully slow cliche-ridden film filled with more holes than clyde barrow's car . 
",train
negative," "" abandon "" will leave you wanting to abandon the theater . 
",train
negative,"a fast-paced , glitzy but extremely silly piece . 
",train
negative,"an intermittently pleasing but mostly routine effort . 
",train
negative,"a sha-na-na sketch punctuated with graphic violence . 
",train
negative,"self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable . 
",train
negative,"like the world of his film , hartley created a monster but didn't know how to handle it . 
",train
negative,"no big whoop , nothing new to see , zero thrills , too many flashbacks and a choppy ending make for a bad film . 
",train
negative,"there is so much plodding sensitivity . 
",train
negative,"most of the action setups are incoherent . 
",train
negative,"the story is lacking any real emotional impact , and the plot is both contrived and cliched . 
",train
negative,"we haven't seen such hilarity since say it isn't so ! 
",train
negative,"her fans walked out muttering words like "" horrible "" and "" terrible , "" but had so much fun dissing the film that they didn't mind the ticket cost . in this case zero . 
",train
negative," "" analyze that "" is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original . 
",train
negative,"with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering . . . may put off insiders and outsiders alike . 
",train
negative,"patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary . 
",train
negative,"eh . 
",train
negative,"far more enjoyable than its predecessor . 
",train
negative,"it is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound . 
",train
negative,"glib , satirical documentary that fudges facts , makes facile points and engages in the cinematic equivalent of tabloid journalism . 
",train
negative,"this is standard crime drama fare . . . instantly forgettable and thoroughly dull . 
",train
negative,"by the time the surprise ending is revealed , interest cannot be revived . 
",train
negative,"a glossy knock-off of a b-movie revenge flick . 
",train
negative,"horrid little propaganda film with fascinating connections not only to the serbs themselves but also to a network of american right-wing extremists . 
",train
negative,"a horrible , 99-minute stink bomb . 
",train
negative,"it's hard to say who might enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death
",train
negative,"the question hanging over the time machine is not , as the main character suggests , 'what if ? ' but rather , 'how can you charge money for this ? '
",train
negative,"imagine a film that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s . 
",train
negative,"an artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike . 
",train
negative,"limps along on a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly . 
",train
negative,"kidman is really the only thing that's worth watching in birthday girl , a film by the stage-trained jez butterworth ( mojo ) that serves as yet another example of the sad decline of british comedies in the post-full monty world . 
",train
negative,"an afterschool special without the courage of its convictions . 
",train
negative,"well , jason's gone to manhattan and hell , i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , don't shoot the messenger ) . 
",train
negative,"one of the most plain , unimaginative romantic comedies i've ever seen . 
",train
negative,"while serving sara does have a long way to go before it reaches the level of crudity in the latest austin powers extravaganza , there's nothing here to match that movie's intermittent moments of inspiration . 
",train
negative,"as it abruptly crosscuts among the five friends , it fails to lend the characters' individual stories enough dramatic resonance to make us care about them . 
",train
negative,"one gets the impression the creators of don't ask don't tell laughed a hell of a lot at their own jokes . too bad none of it is funny . 
",train
negative,"benigni presents himself as the boy puppet pinocchio , complete with receding hairline , weathered countenance and american breckin meyer's ridiculously inappropriate valley boy voice . 
",train
negative,"a tired , unnecessary retread . . . a stale copy of a picture that wasn't all that great to begin with . 
",train
negative,"the film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic . 
",train
negative,"yo , it's the days of our lives meets electric boogaloo . 
",train
negative,"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for . 
",train
negative,"how many more times will indie filmmakers subject us to boring , self-important stories of how horrible we are to ourselves and each other ? 
",train
negative,"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living . 
",train
negative,"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder . 
",train
negative,"largely a for-fans artifact . 
",train
negative,"opens at a funeral , ends on the protagonist's death bed and doesn't get much livelier in the three hours in between . 
",train
negative,"you're better off staying home and watching the x-files . 
",train
negative,"for all its surface frenzy , high crimes should be charged with loitering -- so much on view , so little to offer . 
",train
negative,"according to the script , grant and bullock's characters are made for each other . but you'd never guess that from the performances . 
",train
negative,"director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two . 
",train
negative,"about as satisfying and predictable as the fare at your local drive through . 
",train
negative,"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes . 
",train
negative,"gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing . 
",train
negative,"if there was ever a movie where the upbeat ending feels like a copout , this is the one . 
",train
negative,"intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject . 
",train
negative,"the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense . 
",train
negative,"collateral damage offers formula payback and the big payoff , but the explosions tend to simply hit their marks , pyro-correctly . 
",train
negative,"parker probably thinks he's shaking up a classic the way kenneth branagh and baz luhrmann have , but this half-hearted messing-about just makes us miss wilde's still-contemporary play . 
",train
negative,"an affable but undernourished romantic comedy that fails to match the freshness of the actress-producer and writer's previous collaboration , miss congeniality . 
",train
negative,"director clare kilner's debut is never as daft as it should have been . 
",train
negative,"always destined to be measured against anthony asquith's acclaimed 1952 screen adaptation . 
",train
negative,"ms . phoenix is completely lacking in charm and charisma , and is unable to project either esther's initial anomie or her eventual awakening . 
",train
negative,"follows the original film virtually scene for scene and yet manages to bleed it almost completely dry of humor , verve and fun . 
",train
negative,"bland but harmless . 
",train
negative,"queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- she does little here but point at things that explode into flame . 
",train
negative,"content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance . 
",train
negative,"nicholas nickleby celebrates the human spirit with such unrelenting dickensian decency that it turned me ( horrors ! ) into scrooge . 
",train
negative,"neither funny nor suspenseful nor particularly well-drawn . 
",train
negative,"it's quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere . 
",train
negative,"possibly not since grumpy old men have i heard a film so solidly connect with one demographic while striking out with another . 
",train
negative,"while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer
",train
negative,"what's next ? rob schneider , dana carvey and sarah michelle gellar in the philadelphia story ? david spade as citizen kane ? 
",train
negative,"as an actress , madonna is one helluva singer . as the mediterranean sparkles , 'swept away' sinks . 
",train
negative,"the tuxedo wasn't just bad ; it was , as my friend david cross would call it , 'hungry-man portions of bad' . 
",train
negative,"a film made with as little wit , interest , and professionalism as artistically possible for a slummy hollywood caper flick . 
",train
negative,"in the end , ted bundy's only justification is the director's common but unexplored fascination with the frustrated maniac ; there's no larger point , and little social context . 
",train
negative,"a chaotic panorama that's too busy flying a lot of metaphoric flags . 
",train
negative,"in spite of featuring a script credited to no fewer than five writers , apparently nobody here bothered to check it twice . 
",train
negative,"never comes together as a coherent whole . 
",train
negative,"though its atmosphere is intriguing . . . the drama is finally too predictable to leave much of an impression . 
",train
negative,"instead of contriving a climactic hero's death for the beloved-major- character-who-shall- remain-nameless , why not invite some genuine spontaneity into the film by having the evil aliens' laser guns actually hit something for once ? 
",train
negative,"de niro cries . you'll cry for your money back . 
",train
negative,"rarely has a film's title served such dire warning . 
",train
negative,"the origin story is well told , and the characters will not disappoint anyone who values the original comic books . it's in the action scenes that things fall apart . 
",train
negative,"lame sweet home leaves no southern stereotype unturned . 
",train
negative,"there's no real reason to see it , and no real reason not to . 
",train
negative,"all the small moments and flashbacks don't add up to much more than trite observations on the human condition . 
",train
negative,"melanie eventually slugs the yankee . too bad the former murphy brown doesn't pop reese back . 
",train
negative,"choppy , overlong documentary about 'the lifestyle . '
",train
negative,"the element of surprise might be the only thing femme fatale has going for it . 
",train
negative,"screenwriter chris ver weil's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability . 
",train
negative,"birot's directorial debut ( she co-wrote the script with christophe honoré ) isn't so much bad as it is bland . 
",train
negative,"as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous . 
",train
negative,"our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender — and i know this because i've seen 'jackass : the movie . '
",train
negative,"so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along . 
",train
negative,"suffers from unlikable characters and a self-conscious sense of its own quirky hipness . 
",train
negative,"your taste for jonah - a veggie tales movie may well depend on your threshold for pop manifestations of the holy spirit . 
",train
negative,"the fact that the 'best part' of the movie comes from a 60-second homage to one of demme's good films doesn't bode well for the rest of it . 
",train
negative,"the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ; their parents , wise folks that they are , read books . 
",train
negative,"this charmless nonsense ensues amid clanging film references that make jay and silent bob's excellent adventure seem understated . 
",train
negative,"the script is too mainstream and the psychology too textbook to intrigue . 
",train
